GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.dijkstra,DirectedNode,3,46,0,0,1,18,1,9,1,9
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.dijkstra,NodeComparator,0,26,1,3,0,7,1,4,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.dijkstra,Dijkstra,0,179,2,14,0,45,2,9,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp,RouteCreator,106,310,11,23,25,70,7,18,0,8
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp,Main,186,0,6,0,45,0,11,0,8,0
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp,Main.AlgorithmHandler,659,0,32,0,136,0,18,0,2,0
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.Cache,Cache,25,55,1,7,5,18,2,10,1,7
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.weather,Constants,3,0,0,0,1,0,1,0,1,0
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.weather,WeatherObject,27,27,0,0,6,10,1,5,1,5
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.weather,WeatherData,32,268,11,33,9,58,10,16,0,4
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.weather,WeatherDataStorage,12,182,1,9,6,48,2,7,1,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,NeighborsCmd,89,63,14,8,23,17,9,5,1,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,RadiusCmd,87,63,13,7,22,16,8,5,1,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,MockCmd,62,34,4,2,10,10,4,2,1,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,NaiveRadiusCmd,7,225,0,28,4,44,0,17,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,NaiveNeighborsCmd,17,256,2,34,6,53,2,19,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars.commands,StarsCmd,153,180,16,12,38,45,12,14,2,10
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.modelling,MockPerson,152,0,18,0,45,0,17,0,8,0
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.commands,WaysCmd,156,486,23,21,36,101,18,9,3,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.commands,RouteCmd,18,393,7,27,9,85,7,16,0,6
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.commands,NearestCmd,8,118,2,8,2,27,2,6,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.commands,MapCmd,30,279,9,21,12,76,9,17,0,11
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars,Star,25,90,1,3,4,21,3,10,2,9
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.stars,StarXComparator,0,23,0,4,0,8,0,4,0,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.parsing.csv,CSVParser,96,48,11,3,28,15,9,4,3,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.kdtree,KDTree,89,395,12,52,15,91,13,31,3,9
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.kdtree,KDNode,4,77,2,2,2,24,2,11,0,11
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.kdtree,MultiTreeMap,0,41,0,2,0,12,0,4,0,3
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.parsing.input,REPL,59,40,9,3,19,10,6,3,1,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.MapComponents,MapNode,32,259,3,33,13,67,7,24,4,9
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.MapComponents,MapNodeXComparator,0,9,0,0,0,2,0,2,0,2
maps,edu.brown.cs.amanjal_mdeetman.WeatherRouterApp.routing.maps.MapComponents,Way,6,143,0,6,2,37,2,15,2,12
